Record_ID,Date,Region,Team,Metric_A,Metric_B,Metric_C,Score,Completion_Rate,Status,Is_Priority,Comments
REC-0046,2025-02-15,South,Alpha,97.86,158.18,54.16,96.4,0.744,Active,FALSE,Routine observation
REC-0047,2025-02-16,South,Alpha,90.75,154.73,48.60,80.9,0.760,Active,FALSE,Follow-up recommended
REC-0048,2025-02-17,East,Beta,76.61,137.80,42.26,81.6,0.705,Active,FALSE,Performance improving
REC-0049,2025-02-18,South,Beta,97.30,178.50,57.59,75.7,0.822,Active,FALSE,No action required
REC-0050,2025-02-19,South,Gamma,97.28,178.57,52.58,75.9,0.701,Active,FALSE,Follow-up recommended
REC-0051,2025-02-20,West,Gamma,62.97,98.25,42.21,66.0,0.735,Active,FALSE,Routine observation
REC-0052,2025-02-21,East,Epsilon,70.36,117.12,38.63,86.2,0.719,Active,FALSE,Within expected range
REC-0053,2025-02-22,West,Gamma,65.61,111.50,42.88,77.5,0.635,Active,FALSE,
REC-0054,2025-02-23,South,Delta,95.75,165.11,46.41,75.9,0.666,Active,FALSE,No action required
REC-0055,2025-02-24,South,Gamma,88.13,166.92,47.38,88.7,0.787,Paused,FALSE,Performance improving
REC-0056,2025-02-25,East,Epsilon,73.76,128.33,46.15,77.1,0.740,Active,FALSE,
REC-0057,2025-02-26,North,Gamma,77.17,131.12,53.51,71.5,0.755,Active,FALSE,
REC-0058,2025-02-27,West,Delta,71.25,126.90,42.69,67.1,0.704,Active,FALSE,Follow-up recommended
REC-0059,2025-02-28,North,Beta,87.09,161.63,38.28,72.8,0.712,Active,FALSE,Within expected range
REC-0060,2025-03-01,South,Epsilon,93.75,182.94,58.56,89.5,0.760,Active,FALSE,Routine observation
REC-0061,2025-03-02,North,Alpha,77.22,141.79,46.23,76.9,0.690,Active,FALSE,Follow-up recommended
REC-0062,2025-03-03,South,Beta,93.49,154.66,55.98,73.3,0.597,Active,FALSE,Routine observation
REC-0063,2025-03-04,East,Epsilon,80.15,136.17,37.15,78.4,0.663,Active,FALSE,Routine observation
REC-0064,2025-03-05,East,Epsilon,77.58,135.77,46.06,87.8,0.675,Active,FALSE,Within expected range
REC-0065,2025-03-06,North,Epsilon,71.71,110.98,51.88,82.3,0.657,Active,TRUE,Performance improving
REC-0066,2025-03-07,West,Gamma,65.68,106.98,45.32,70.2,0.651,Active,FALSE,Performance improving
REC-0067,2025-03-08,North,Delta,88.06,142.90,62.12,79.7,0.684,Review,FALSE,Performance improving
REC-0068,2025-03-09,South,Epsilon,87.15,156.99,56.23,84.5,0.657,Paused,TRUE,No action required
REC-0069,2025-03-10,South,Alpha,89.51,155.51,67.45,79.4,0.675,Active,FALSE,Within expected range
REC-0070,2025-03-11,East,Delta,79.06,138.75,51.85,67.1,0.795,Active,FALSE,Routine observation
REC-0071,2025-03-12,South,Epsilon,86.26,151.53,50.00,67.8,0.628,Active,FALSE,No action required
REC-0072,2025-03-13,East,Delta,74.61,123.79,,79.4,0.791,Active,FALSE,Performance improving
REC-0073,2025-03-14,East,Delta,72.41,134.47,51.46,60.0,0.689,Review,FALSE,Within expected range
REC-0074,2025-03-15,South,Epsilon,85.86,151.44,51.34,86.5,0.801,Active,FALSE,Performance improving
REC-0075,2025-03-16,South,Delta,83.90,134.19,,69.0,0.668,Active,FALSE,
REC-0076,2025-03-17,South,Gamma,87.47,166.33,51.81,77.0,0.718,Active,FALSE,Performance improving
REC-0077,2025-03-18,North,Gamma,76.50,127.49,45.23,78.8,0.631,Active,FALSE,Follow-up recommended
REC-0078,2025-03-19,South,Beta,85.88,139.71,52.14,80.0,0.792,Paused,FALSE,Routine observation
REC-0079,2025-03-20,South,Epsilon,87.91,161.08,46.74,86.2,0.667,Active,FALSE,Follow-up recommended
REC-0080,2025-03-21,North,Delta,75.76,123.17,44.00,81.2,0.706,Paused,FALSE,Performance improving
REC-0081,2025-03-22,East,Alpha,84.61,141.02,50.52,67.4,0.715,Active,FALSE,Follow-up recommended
REC-0082,2025-03-23,East,Beta,70.87,112.04,32.08,71.7,0.668,Review,FALSE,Within expected range
REC-0083,2025-03-24,South,Delta,89.46,160.36,33.90,76.1,0.579,Active,FALSE,Performance improving
REC-0084,2025-03-25,West,Alpha,70.95,121.07,41.55,75.0,0.667,Paused,FALSE,Performance improving
REC-0085,2025-03-26,South,Delta,94.09,165.52,41.96,83.9,0.672,Active,FALSE,Routine observation
REC-0086,2025-03-27,South,Epsilon,77.88,131.13,60.48,71.7,0.642,Paused,FALSE,Within expected range
REC-0087,2025-03-28,North,Alpha,178.51,319.02,59.98,100.0,0.754,Review,FALSE,Potential anomaly - investigate
REC-0088,2025-03-29,West,Alpha,75.87,123.20,46.26,74.4,0.695,Active,FALSE,Within expected range
REC-0089,2025-03-30,South,Gamma,78.97,144.17,54.09,91.5,0.682,Active,FALSE,Follow-up recommended
REC-0090,2025-03-31,North,Gamma,73.17,132.19,45.58,74.6,0.715,Active,FALSE,Within expected range
REC-0091,2025-04-01,South,Gamma,78.51,140.21,48.96,80.1,0.745,Paused,FALSE,Routine observation
REC-0092,2025-04-02,East,Epsilon,69.36,125.80,53.90,77.6,0.614,Active,FALSE,No action required
REC-0093,2025-04-03,South,Epsilon,81.23,155.63,55.29,82.6,0.659,Active,FALSE,Routine observation
REC-0094,2025-04-04,South,Alpha,76.49,134.93,54.57,77.5,0.696,Paused,FALSE,No action required
REC-0095,2025-04-05,West,Epsilon,65.12,111.32,48.98,63.6,0.758,Paused,TRUE,No action required
REC-0096,2025-04-06,South,Beta,76.11,140.92,42.89,82.1,0.694,Active,FALSE,Performance improving
REC-0097,2025-04-07,North,Alpha,82.00,143.24,41.24,79.4,0.729,Review,FALSE,Within expected range
REC-0098,2025-04-08,West,Delta,75.27,122.29,50.30,74.5,0.667,Paused,FALSE,Performance improving
REC-0099,2025-04-09,East,Gamma,74.01,134.37,46.74,76.7,0.777,Review,FALSE,No action required
REC-0100,2025-04-10,South,Gamma,84.54,149.11,53.23,65.2,0.692,Paused,FALSE,Performance improving
REC-0101,2025-04-11,West,Alpha,73.04,127.69,36.13,70.7,0.742,Paused,FALSE,Within expected range
REC-0102,2025-04-12,North,Alpha,82.07,154.74,50.75,78.7,0.657,Active,FALSE,Within expected range
REC-0103,2025-04-13,South,Alpha,88.12,151.70,,70.8,0.724,Active,TRUE,No action required
REC-0104,2025-04-14,West,Beta,67.55,111.62,46.99,78.7,0.688,Active,FALSE,No action required
REC-0105,2025-04-15,South,Delta,86.20,152.36,50.43,92.6,0.733,Review,FALSE,Performance improving
REC-0106,2025-04-16,South,Alpha,75.24,143.36,60.01,88.9,0.628,Active,FALSE,Routine observation
REC-0107,2025-04-17,South,Delta,86.82,161.03,43.58,81.2,0.820,Paused,TRUE,Routine observation
REC-0108,2025-04-18,East,Gamma,66.54,101.81,45.04,69.6,0.742,Paused,FALSE,Routine observation
REC-0109,2025-04-19,South,Epsilon,83.43,146.54,44.37,85.2,0.683,Review,FALSE,Within expected range
REC-0110,2025-04-20,North,Alpha,69.80,124.35,50.69,66.9,0.704,Active,FALSE,Routine observation
REC-0111,2025-04-21,East,Alpha,75.26,124.57,37.49,68.7,0.737,Active,FALSE,Performance improving
REC-0112,2025-04-22,South,Epsilon,77.82,136.88,,77.9,0.764,Review,FALSE,Follow-up recommended
REC-0113,2025-04-23,West,Epsilon,61.90,103.66,,68.9,0.755,Active,FALSE,No action required
REC-0114,2025-04-24,South,Gamma,85.83,156.95,49.61,88.4,0.648,Active,FALSE,Routine observation
REC-0115,2025-04-25,South,Delta,75.51,140.81,59.97,82.8,0.759,Active,FALSE,Follow-up recommended
REC-0116,2025-04-26,East,Epsilon,74.77,137.45,41.66,75.9,0.667,Active,FALSE,Follow-up recommended
REC-0117,2025-04-27,North,Alpha,88.03,144.09,47.58,79.1,0.648,Review,FALSE,Follow-up recommended
REC-0118,2025-04-28,South,Epsilon,81.67,138.44,45.34,80.2,0.702,Active,FALSE,Performance improving
REC-0119,2025-04-29,West,Delta,65.30,118.61,38.39,69.9,0.651,Active,FALSE,Performance improving
REC-0120,2025-04-30,North,Beta,74.49,126.22,48.00,84.4,0.776,Review,TRUE,Routine observation
REC-0121,2025-05-01,South,Epsilon,76.14,138.41,58.00,80.3,0.708,Active,FALSE,Routine observation
REC-0122,2025-05-02,South,Delta,89.56,156.46,67.93,82.5,0.769,Active,FALSE,Routine observation
REC-0123,2025-05-03,East,Beta,64.63,113.60,35.13,63.3,0.637,Active,TRUE,Follow-up recommended
REC-0124,2025-05-04,South,Alpha,86.43,145.44,55.72,82.3,0.670,Active,TRUE,No action required
REC-0125,2025-05-05,South,Beta,77.55,135.60,52.38,72.0,0.786,Paused,FALSE,Routine observation
REC-0126,2025-05-06,West,Epsilon,50.08,86.54,34.43,67.0,0.640,Active,FALSE,
REC-0127,2025-05-07,South,Alpha,87.40,154.71,40.69,78.6,0.740,Paused,FALSE,Follow-up recommended
REC-0128,2025-05-08,West,Delta,62.99,99.48,52.17,76.6,0.677,Active,TRUE,Routine observation
REC-0129,2025-05-09,South,Epsilon,82.38,142.00,52.32,75.1,0.686,Active,FALSE,Within expected range
REC-0130,2025-05-10,South,Delta,84.95,131.71,37.71,89.4,0.655,Review,FALSE,Within expected range
REC-0131,2025-05-11,North,Epsilon,72.66,132.20,47.86,74.6,0.753,Active,FALSE,Within expected range
REC-0132,2025-05-12,North,Delta,75.78,134.50,52.47,72.1,0.774,Active,FALSE,Routine observation
REC-0133,2025-05-13,South,Beta,83.75,150.81,50.86,70.3,0.661,Active,TRUE,Follow-up recommended
REC-0134,2025-05-14,South,Epsilon,84.77,149.28,45.59,80.5,0.704,Active,FALSE,Performance improving
REC-0135,2025-05-15,West,Alpha,71.79,124.79,32.80,69.3,0.777,Active,FALSE,Performance improving
REC-0136,2025-05-16,East,Delta,75.10,135.54,46.85,77.7,0.681,Active,FALSE,Within expected range
REC-0137,2025-05-17,South,Gamma,64.72,120.76,43.12,80.8,0.690,Review,FALSE,Follow-up recommended
REC-0138,2025-05-18,North,Delta,83.89,148.48,39.42,86.4,0.650,Active,TRUE,Performance improving
REC-0139,2025-05-19,South,Delta,84.62,149.47,49.55,87.2,0.714,Paused,FALSE,No action required
REC-0140,2025-05-20,East,Epsilon,76.40,152.66,28.97,81.8,0.758,Active,FALSE,Follow-up recommended
REC-0141,2025-05-21,South,Epsilon,84.09,159.37,43.70,78.5,0.815,Active,FALSE,Within expected range
REC-0142,2025-05-22,East,Epsilon,74.12,128.04,,67.7,0.639,Active,FALSE,Routine observation
REC-0143,2025-05-23,South,Beta,79.73,140.42,44.77,72.8,0.676,Active,FALSE,Within expected range
REC-0144,2025-05-24,East,Gamma,63.54,114.71,46.96,78.0,0.677,Paused,FALSE,Within expected range
REC-0145,2025-05-25,West,Beta,71.09,125.05,32.60,78.4,0.758,Active,FALSE,
REC-0146,2025-05-26,West,Epsilon,57.15,110.11,51.49,64.7,0.819,Active,FALSE,Performance improving
REC-0147,2025-05-27,West,Delta,69.32,140.39,,58.8,0.726,Active,FALSE,Routine observation
REC-0148,2025-05-28,West,Delta,72.65,128.15,,77.4,0.727,Active,FALSE,Performance improving
REC-0149,2025-05-29,South,Gamma,88.80,163.88,55.70,80.3,0.684,Paused,FALSE,No action required
REC-0150,2025-05-30,South,Gamma,79.84,137.01,57.86,83.8,0.718,Paused,TRUE,Within expected range
REC-0151,2025-05-31,North,Epsilon,77.39,147.26,60.47,74.2,0.787,Active,FALSE,No action required
REC-0152,2025-06-01,South,Epsilon,82.99,159.23,44.91,84.8,0.812,Paused,FALSE,Routine observation
REC-0153,2025-06-02,East,Epsilon,73.25,116.89,37.75,72.3,0.715,Review,FALSE,Performance improving
REC-0154,2025-06-03,North,Alpha,84.32,155.59,41.70,81.6,0.754,Active,FALSE,Routine observation
REC-0155,2025-06-04,South,Delta,96.28,161.64,51.03,88.1,0.851,Active,FALSE,Within expected range
REC-0156,2025-06-05,South,Epsilon,83.33,164.01,63.95,77.2,0.709,Active,FALSE,Within expected range
REC-0157,2025-06-06,East,Gamma,66.83,125.62,,61.5,0.850,Active,FALSE,Within expected range
REC-0158,2025-06-07,North,Delta,77.84,125.20,50.95,87.8,0.725,Active,FALSE,No action required
REC-0159,2025-06-08,North,Epsilon,85.11,149.83,,83.2,0.767,Paused,FALSE,Follow-up recommended
REC-0160,2025-06-09,West,Delta,70.12,109.19,30.97,76.0,0.738,Active,FALSE,Routine observation
REC-0161,2025-06-10,East,Alpha,77.20,139.34,40.75,79.4,0.711,Active,FALSE,Performance improving
REC-0162,2025-06-11,West,Gamma,72.08,125.38,37.96,74.0,0.786,Review,FALSE,No action required
REC-0163,2025-06-12,West,Delta,76.44,131.70,,71.7,0.822,Paused,FALSE,Follow-up recommended
REC-0164,2025-06-13,South,Beta,95.61,181.38,62.46,75.0,0.712,Active,FALSE,Follow-up recommended
REC-0165,2025-06-14,North,Delta,84.25,148.65,59.67,83.5,0.723,Active,FALSE,Within expected range
REC-0166,2025-06-15,North,Alpha,82.86,146.02,41.80,65.7,0.816,Paused,FALSE,Within expected range
REC-0167,2025-06-16,West,Delta,72.47,134.41,50.53,70.4,0.700,Active,FALSE,No action required
REC-0168,2025-06-17,East,Epsilon,79.75,137.19,32.69,80.4,0.807,Review,TRUE,No action required
REC-0169,2025-06-18,North,Epsilon,84.62,136.81,51.78,77.3,0.671,Active,FALSE,Routine observation
REC-0170,2025-06-19,South,Alpha,88.90,151.25,51.48,81.1,0.739,Active,FALSE,Routine observation
REC-0171,2025-06-20,South,Alpha,96.53,171.70,50.94,83.4,0.734,Active,FALSE,Performance improving
REC-0172,2025-06-21,South,Delta,90.04,166.10,47.41,73.9,0.709,Review,FALSE,Performance improving
REC-0173,2025-06-22,South,Alpha,92.89,163.42,32.62,71.7,0.763,Active,FALSE,Follow-up recommended
REC-0174,2025-06-23,South,Alpha,104.15,184.63,39.67,74.9,0.775,Active,TRUE,Routine observation
REC-0175,2025-06-24,East,Alpha,82.84,145.05,45.10,71.3,0.769,Active,FALSE,Follow-up recommended
REC-0176,2025-06-25,East,Epsilon,77.65,145.69,40.12,72.1,0.731,Active,FALSE,
REC-0177,2025-06-26,West,Beta,81.37,136.47,35.74,61.7,0.746,Paused,FALSE,Performance improving
REC-0178,2025-06-27,South,Beta,94.01,169.37,46.95,80.3,0.761,Active,FALSE,Routine observation
REC-0179,2025-06-28,South,Beta,104.99,179.05,55.46,83.2,0.764,Active,TRUE,Within expected range
REC-0180,2025-06-29,South,Gamma,87.60,160.90,54.64,80.1,0.770,Active,FALSE,Performance improving
REC-0181,2025-06-30,South,Alpha,92.45,163.03,56.41,80.4,0.644,Active,FALSE,No action required
REC-0182,2025-07-01,South,Gamma,93.73,156.30,45.54,80.1,0.738,Active,FALSE,Performance improving
REC-0183,2025-07-02,South,Gamma,99.16,164.71,56.63,83.4,0.777,Review,FALSE,No action required
REC-0184,2025-07-03,South,Beta,89.50,167.01,41.79,80.1,0.726,Paused,FALSE,Performance improving
REC-0185,2025-07-04,South,Beta,93.07,161.16,,87.6,0.707,Active,FALSE,No action required
REC-0186,2025-07-05,West,Alpha,84.28,139.28,43.79,75.0,0.743,Active,FALSE,Routine observation
REC-0187,2025-07-06,South,Delta,98.37,171.37,50.95,76.5,0.733,Paused,TRUE,Within expected range
REC-0188,2025-07-07,South,Delta,103.00,163.79,54.46,85.5,0.769,Review,TRUE,Within expected range
REC-0189,2025-07-08,South,Gamma,97.03,178.37,50.04,82.6,0.839,Active,FALSE,Routine observation
REC-0190,2025-07-09,South,Alpha,95.49,157.67,63.74,87.5,0.713,Active,FALSE,No action required
REC-0191,2025-07-10,West,Epsilon,76.21,130.92,41.33,88.5,0.808,Review,FALSE,Routine observation
REC-0192,2025-07-11,North,Beta,81.78,136.16,46.36,72.0,0.779,Active,FALSE,No action required
REC-0193,2025-07-12,North,Alpha,93.45,141.89,47.91,87.2,0.769,Active,FALSE,No action required
REC-0194,2025-07-13,South,Gamma,99.14,174.68,60.12,82.4,0.660,Paused,FALSE,
REC-0195,2025-07-14,South,Beta,107.72,187.75,49.18,90.5,0.826,Paused,TRUE,Follow-up recommended
REC-0196,2025-07-15,North,Alpha,97.56,167.69,48.23,79.5,0.803,Review,FALSE,
REC-0197,2025-07-16,South,Epsilon,99.37,168.12,48.42,79.1,0.782,Active,FALSE,No action required
REC-0198,2025-07-17,South,Beta,97.52,166.17,51.34,87.0,0.771,Active,FALSE,Performance improving
REC-0199,2025-07-18,West,Delta,87.23,148.26,38.43,83.4,0.781,Active,FALSE,No action required
REC-0200,2025-07-19,South,Delta,104.88,169.02,55.74,83.8,0.687,Active,TRUE,Performance improving
REC-0201,2025-07-20,West,Gamma,90.96,158.11,31.13,90.7,0.729,Active,FALSE,Performance improving
REC-0202,2025-07-21,South,Epsilon,100.73,188.64,63.12,84.8,0.789,Active,TRUE,Routine observation
REC-0203,2025-07-22,South,Delta,99.96,179.28,56.56,82.9,0.786,Active,FALSE,Routine observation
REC-0204,2025-07-23,South,Epsilon,85.98,149.72,48.86,72.1,0.766,Review,FALSE,
REC-0205,2025-07-24,East,Gamma,79.71,145.01,51.34,69.4,0.718,Active,FALSE,Performance improving
REC-0206,2025-07-25,South,Epsilon,90.19,153.48,53.23,86.0,0.664,Active,FALSE,Within expected range
REC-0207,2025-07-26,South,Alpha,104.09,196.33,63.09,87.4,0.793,Active,TRUE,Follow-up recommended
REC-0208,2025-07-27,North,Delta,90.60,164.69,49.28,77.6,0.803,Active,FALSE,Follow-up recommended
REC-0209,2025-07-28,South,Delta,95.53,172.78,,78.6,0.775,Active,FALSE,Performance improving
REC-0210,2025-07-29,South,Epsilon,96.97,170.03,53.24,86.9,0.723,Review,FALSE,Follow-up recommended
REC-0211,2025-07-30,North,Delta,83.86,135.51,46.27,71.7,0.707,Active,FALSE,Within expected range
REC-0212,2025-07-31,East,Gamma,90.22,152.66,40.15,75.7,0.756,Active,FALSE,No action required
REC-0213,2025-08-01,South,Delta,103.86,186.22,61.15,81.1,0.674,Active,TRUE,No action required
REC-0214,2025-08-02,South,Delta,291.47,517.48,59.69,100.0,0.775,Review,FALSE,Potential anomaly - investigate
REC-0215,2025-08-03,East,Delta,92.52,170.88,44.40,76.8,0.797,Active,FALSE,No action required
REC-0216,2025-08-04,South,Alpha,103.00,174.58,49.56,66.1,0.706,Review,TRUE,Routine observation
REC-0217,2025-08-05,South,Delta,108.75,199.36,52.05,80.4,0.822,Active,TRUE,Routine observation
REC-0218,2025-08-06,East,Beta,87.14,155.76,54.09,75.0,0.646,Active,FALSE,Follow-up recommended
REC-0219,2025-08-07,East,Alpha,84.52,143.71,39.51,76.6,0.806,Review,FALSE,Routine observation
REC-0220,2025-08-08,South,Alpha,101.48,193.64,51.34,91.8,0.843,Active,TRUE,Follow-up recommended
REC-0221,2025-08-09,East,Delta,82.40,144.89,42.15,84.2,0.676,Active,FALSE,Performance improving
REC-0222,2025-08-10,West,Gamma,81.96,134.55,43.27,67.4,0.698,Active,FALSE,Performance improving
REC-0223,2025-08-11,West,Epsilon,70.26,135.54,44.71,68.4,0.736,Active,FALSE,No action required
REC-0224,2025-08-12,West,Alpha,89.33,167.08,43.80,80.6,0.749,Active,FALSE,Performance improving
REC-0225,2025-08-13,South,Beta,101.68,173.37,62.09,74.8,0.806,Active,TRUE,Within expected range
REC-0226,2025-08-14,North,Gamma,89.06,153.84,36.39,77.6,0.770,Active,TRUE,Performance improving
REC-0227,2025-08-15,South,Delta,108.02,189.76,60.53,68.9,0.731,Active,TRUE,Follow-up recommended
REC-0228,2025-08-16,North,Gamma,87.45,148.49,52.36,71.3,0.834,Paused,FALSE,Follow-up recommended
REC-0229,2025-08-17,South,Beta,90.62,163.30,49.22,77.9,0.682,Active,FALSE,Routine observation
REC-0230,2025-08-18,East,Gamma,86.94,158.92,41.61,82.4,0.798,Review,TRUE,No action required
REC-0231,2025-08-19,East,Alpha,93.02,153.21,40.30,87.9,0.661,Active,FALSE,Follow-up recommended
REC-0232,2025-08-20,South,Epsilon,95.15,181.63,58.33,87.3,0.766,Active,FALSE,No action required
REC-0233,2025-08-21,North,Delta,98.72,168.89,50.60,82.9,0.760,Active,TRUE,No action required
REC-0234,2025-08-22,East,Delta,88.76,154.35,40.23,71.8,0.743,Active,FALSE,Routine observation
REC-0235,2025-08-23,East,Epsilon,80.10,149.60,43.84,68.8,0.730,Active,FALSE,Routine observation
REC-0236,2025-08-24,North,Epsilon,82.65,139.31,44.20,77.6,0.664,Paused,TRUE,Follow-up recommended
REC-0237,2025-08-25,West,Epsilon,69.62,120.23,40.61,80.3,0.763,Active,FALSE,Routine observation
REC-0238,2025-08-26,South,Gamma,83.53,143.72,43.08,84.2,0.794,Active,FALSE,No action required
REC-0239,2025-08-27,East,Epsilon,81.39,138.92,42.97,77.4,0.770,Active,TRUE,Performance improving
REC-0240,2025-08-28,West,Alpha,82.75,128.06,35.94,77.8,0.702,Active,FALSE,
REC-0241,2025-08-29,South,Epsilon,93.42,161.16,53.41,88.3,0.823,Active,FALSE,Within expected range
REC-0242,2025-08-30,North,Beta,88.45,151.17,59.85,79.5,0.720,Active,FALSE,Follow-up recommended
REC-0243,2025-08-31,East,Beta,88.97,156.02,43.69,85.4,0.831,Active,FALSE,Performance improving
REC-0244,2025-09-01,North,Epsilon,76.00,141.30,,91.9,0.727,Active,FALSE,Routine observation
REC-0245,2025-09-02,East,Delta,84.02,139.67,45.91,78.1,0.792,Active,FALSE,No action required
REC-0246,2025-09-03,West,Beta,80.82,137.40,54.19,83.0,0.739,Active,FALSE,Within expected range
REC-0247,2025-09-04,West,Beta,80.37,130.24,43.35,80.5,0.707,Active,FALSE,Performance improving
REC-0248,2025-09-05,North,Beta,87.04,154.73,42.42,77.1,0.688,Active,FALSE,Follow-up recommended
REC-0249,2025-09-06,South,Epsilon,96.80,171.44,53.84,78.7,0.880,Review,FALSE,Follow-up recommended
REC-0250,2025-09-07,East,Alpha,82.70,159.76,43.99,81.3,0.764,Active,FALSE,Routine observation
REC-0251,2025-09-08,East,Alpha,88.76,155.24,35.25,71.2,0.865,Active,FALSE,
REC-0252,2025-09-09,West,Delta,85.57,153.24,34.68,87.9,0.785,Active,FALSE,Follow-up recommended
REC-0253,2025-09-10,North,Epsilon,80.36,136.53,45.98,83.4,0.748,Active,FALSE,Performance improving
REC-0254,2025-09-11,South,Epsilon,91.39,166.64,31.72,81.7,0.713,Active,FALSE,Within expected range
REC-0255,2025-09-12,South,Beta,100.44,177.52,64.56,85.1,0.748,Active,TRUE,No action required
REC-0256,2025-09-13,South,Beta,102.55,188.92,58.02,82.6,0.879,Paused,TRUE,Routine observation
REC-0257,2025-09-14,South,Delta,89.62,168.94,54.45,77.0,0.679,Review,FALSE,Routine observation
