RecordID,Region,Segment,Channel,Units,UnitPrice,Revenue,Cost,Profit,Satisfaction,ResponseTime,Renewal
29,VIC,Enterprise,Partner,21,120.0,4542.32,2507.63,2034.7,7.89,7.8,Yes
30,NSW,Mid Market,Partner,16,126.32,3380.83,1954.81,1426.02,7.26,7.77,No
31,QLD,SMB,Online,14,101.35,2520.55,1541.49,979.05,6.99,6.74,No
32,QLD,Enterprise,Direct,27,118.62,4952.31,2804.08,2148.23,6.22,8.3,No
33,QLD,Mid Market,Online,17,103.03,2988.55,1669.58,1318.96,7.47,6.62,No
34,QLD,Enterprise,Partner,27,121.56,4978.25,2841.24,2137.01,7.01,6.78,Yes
35,QLD,Enterprise,Direct,22,115.86,4461.16,2325.22,2135.94,6.37,10.32,Yes
36,QLD,SMB,Online,24,127.87,4257.84,2856.24,1401.6,5.66,9.91,Yes
37,QLD,SMB,Online,12,104.08,2133.41,1232.21,901.2,5.69,9.25,No
38,VIC,Mid Market,Online,14,94.13,2925.15,1790.22,1134.93,6.12,9.79,No
39,VIC,SMB,Partner,13,112.18,2563.25,1557.22,1006.03,4.32,12.04,No
40,QLD,SMB,Partner,16,104.89,2636.82,1650.94,985.88,4.55,9.61,Yes
41,VIC,Enterprise,Direct,27,91.51,4255.49,2565.62,1689.86,5.83,9.0,Yes
42,QLD,Mid Market,Partner,16,113.55,3192.77,1896.53,1296.23,4.27,11.09,Yes
43,VIC,SMB,Direct,14,90.67,2408.79,1544.27,864.52,7.7,7.37,Yes
44,NSW,SMB,Direct,21,100.9,3521.26,2106.5,1414.76,7.18,6.74,No
45,VIC,Mid Market,Partner,24,96.54,3491.1,1933.12,1557.98,4.8,10.13,Yes
46,QLD,Mid Market,Partner,16,114.78,2898.6,1578.62,1319.99,4.75,10.03,Yes
47,NSW,SMB,Partner,14,119.67,3035.0,1849.51,1185.49,6.11,7.12,Yes
48,VIC,SMB,Partner,17,118.08,3323.4,1874.08,1449.33,5.6,7.17,No
49,VIC,Enterprise,Direct,21,79.53,3589.74,2080.18,1509.56,7.08,6.41,Yes
50,NSW,Enterprise,Direct,25,107.13,4503.83,2512.45,1991.38,8.01,8.15,Yes
51,VIC,Enterprise,Direct,20,103.8,3768.72,2167.88,1600.84,6.82,8.27,Yes
52,NSW,SMB,Online,11,119.95,2663.24,1509.45,1153.8,6.76,8.36,Yes
53,QLD,SMB,Online,17,86.48,2481.22,1251.7,1229.52,5.76,9.47,Yes
54,NSW,SMB,Online,17,124.75,3411.68,1940.93,1470.76,5.43,8.32,Yes
55,QLD,Mid Market,Direct,19,106.81,3090.5,1578.76,1511.74,4.86,11.29,Yes
56,VIC,SMB,Direct,17,79.92,2418.85,1401.75,1017.1,7.76,7.02,Yes
57,VIC,SMB,Partner,12,126.26,2680.35,1541.6,1138.76,7.44,7.14,No
58,VIC,SMB,Online,19,102.78,3158.38,1735.12,1423.26,5.24,9.89,No
59,NSW,Mid Market,Online,23,118.91,4272.3,2687.71,1584.59,6.22,8.03,Yes
60,QLD,Enterprise,Direct,22,93.67,3873.79,2141.59,1732.2,6.58,8.59,No
61,NSW,Mid Market,Partner,16,85.11,2771.64,1545.82,1225.82,7.01,7.48,Yes
62,VIC,SMB,Online,11,107.67,2063.28,1271.27,792.01,5.52,11.12,Yes
63,NSW,Enterprise,Direct,25,115.99,4808.15,2729.44,2078.72,7.72,8.63,Yes
64,QLD,SMB,Partner,18,110.04,2995.85,1832.84,1163.01,6.81,8.32,Yes
65,QLD,SMB,Online,22,123.66,3375.98,2005.57,1370.41,4.79,9.6,Yes
66,NSW,Enterprise,Online,14,108.37,3363.04,2011.17,1351.87,7.29,7.42,Yes
67,VIC,SMB,Online,21,119.98,3413.43,1883.03,1530.4,6.37,10.08,Yes
68,VIC,Mid Market,Online,14,122.02,2872.9,1590.09,1282.81,7.08,7.65,Yes
69,VIC,Enterprise,Direct,21,105.43,3746.83,2264.5,1482.33,6.93,8.91,Yes
70,VIC,SMB,Online,22,94.47,3031.51,1678.17,1353.34,7.07,7.42,Yes
71,VIC,Mid Market,Online,18,108.4,3231.05,2082.15,1148.9,5.83,8.76,Yes
72,VIC,SMB,Online,11,104.95,2326.93,1384.14,942.79,5.48,9.96,Yes
73,NSW,Mid Market,Online,7,90.48,2417.29,1425.86,991.43,6.87,8.47,Yes
74,VIC,SMB,Online,18,120.68,3171.17,1774.25,1396.92,6.9,8.7,Yes
75,VIC,Mid Market,Direct,15,94.94,3097.46,1760.42,1337.04,5.56,9.03,Yes
76,NSW,Mid Market,Partner,4,101.46,1819.26,1006.76,812.51,6.4,9.0,Yes
77,QLD,SMB,Online,17,120.72,3216.2,1844.5,1371.7,5.55,8.87,No
78,VIC,Enterprise,Direct,16,99.82,3788.93,2464.02,1324.91,7.96,6.35,Yes
79,QLD,SMB,Online,13,104.42,2599.2,1313.93,1285.27,5.74,10.77,Yes
80,QLD,SMB,Online,18,97.12,2791.88,1549.21,1242.67,6.68,7.75,No
81,NSW,SMB,Online,21,104.9,3608.6,2255.34,1353.26,5.96,10.3,Yes
82,VIC,SMB,Direct,14,88.98,2406.04,1564.36,841.68,7.63,7.91,Yes
83,QLD,SMB,Online,21,72.0,2465.24,1455.19,1010.05,4.5,10.48,No
84,QLD,SMB,Online,10,110.56,1896.32,1170.71,725.61,6.27,9.84,No
85,NSW,SMB,Online,21,84.6,3161.94,1781.88,1380.06,6.02,10.73,No
86,QLD,Enterprise,Direct,15,83.51,3154.31,1858.08,1296.23,6.23,9.0,Yes
87,QLD,SMB,Online,17,102.73,2786.83,1566.34,1220.49,5.34,10.13,Yes
88,VIC,Mid Market,Direct,23,117.52,3990.84,2283.75,1707.09,6.93,7.73,Yes
89,NSW,Enterprise,Direct,24,78.66,3744.06,2139.96,1604.1,6.73,8.67,Yes
90,VIC,SMB,Partner,18,97.84,2744.89,1692.64,1052.24,6.29,10.26,Yes
91,QLD,SMB,Online,14,96.27,2110.97,1200.22,910.75,5.69,8.93,Yes
92,VIC,Mid Market,Direct,18,88.06,2820.1,1776.26,1043.83,5.52,8.24,No
93,VIC,Mid Market,Partner,21,94.31,3294.17,2059.45,1234.72,5.22,8.85,Yes
94,NSW,Mid Market,Direct,19,116.95,3957.85,2304.76,1653.08,8.35,5.48,Yes
95,QLD,SMB,Online,16,93.18,2817.87,1830.15,987.72,7.19,10.23,No
96,QLD,Mid Market,Online,17,93.32,2843.58,1661.59,1181.99,5.03,9.66,Yes
97,VIC,SMB,Online,18,102.72,2982.82,1783.25,1199.57,7.06,6.91,No
98,NSW,Enterprise,Partner,24,99.06,4199.1,2521.41,1677.69,8.22,6.44,Yes
99,NSW,Mid Market,Direct,10,110.56,2617.93,1323.42,1294.51,5.61,10.36,Yes
100,VIC,Enterprise,Direct,13,122.46,3502.06,2090.29,1411.77,5.03,10.99,No
101,NSW,SMB,Online,20,103.3,3257.52,1966.12,1291.41,7.86,8.76,Yes
102,VIC,SMB,Online,23,108.06,3618.89,2200.81,1418.09,5.89,8.93,No
103,NSW,Enterprise,Partner,20,111.47,4139.77,2436.07,1703.69,7.82,6.66,Yes
104,NSW,Enterprise,Partner,22,105.36,4249.14,2400.8,1848.34,7.25,8.41,Yes
105,QLD,SMB,Online,9,108.35,1893.77,1114.68,779.09,3.53,11.4,Yes
106,QLD,Mid Market,Partner,6,113.74,2112.53,1277.88,834.65,4.88,11.18,Yes
107,QLD,Enterprise,Direct,20,101.99,3622.02,2314.29,1307.73,5.84,8.84,No
108,VIC,SMB,Online,21,116.8,3731.29,2050.15,1681.14,6.37,6.73,Yes
109,VIC,Enterprise,Direct,17,108.88,3749.3,2289.96,1459.34,6.66,7.34,Yes
110,QLD,Enterprise,Partner,23,108.24,4087.64,2150.88,1936.76,5.48,8.97,Yes
111,NSW,Enterprise,Direct,18,86.34,3637.64,1996.24,1641.4,8.7,5.98,Yes
112,VIC,Enterprise,Partner,21,111.14,4175.74,2348.16,1827.58,7.19,6.24,Yes
113,QLD,Mid Market,Online,12,92.79,2749.29,1658.43,1090.86,6.34,7.83,Yes
114,VIC,SMB,Partner,24,106.01,3516.84,2024.51,1492.33,7.0,9.32,Yes
115,QLD,Enterprise,Direct,19,115.51,3762.51,1995.42,1767.08,6.25,8.54,Yes
116,NSW,SMB,Online,15,123.96,2956.53,1754.41,1202.12,6.38,10.61,Yes
117,VIC,SMB,Online,10,106.62,2359.78,1415.59,944.19,6.11,8.8,Yes
118,NSW,Enterprise,Direct,21,106.43,4133.01,2348.57,1784.44,6.48,9.8,Yes
119,QLD,Mid Market,Direct,17,102.08,3365.93,2017.1,1348.83,6.76,7.04,Yes
120,VIC,SMB,Direct,20,106.51,3334.86,1813.96,1520.9,7.2,5.46,Yes
121,QLD,Enterprise,Direct,17,103.04,3314.48,2053.71,1260.76,6.33,9.3,Yes
122,NSW,SMB,Online,12,122.0,2875.16,1528.55,1346.61,6.64,9.03,Yes
123,VIC,Mid Market,Partner,19,125.08,3471.78,2055.88,1415.9,6.56,7.13,No
124,VIC,SMB,Online,20,91.24,2992.15,1797.37,1194.78,5.49,9.88,Yes
125,NSW,SMB,Partner,15,106.32,2908.22,1680.42,1227.8,7.76,5.46,Yes
126,VIC,SMB,Online,18,78.3,2244.94,1368.98,875.96,5.74,8.4,Yes
127,NSW,Enterprise,Direct,24,97.94,4205.71,2311.28,1894.43,7.82,7.98,Yes
128,VIC,SMB,Direct,14,112.6,2576.54,1564.61,1011.93,4.9,8.88,Yes
129,NSW,Enterprise,Partner,20,125.37,4202.54,2212.99,1989.55,8.07,6.16,Yes
130,NSW,SMB,Online,15,92.71,2339.07,1271.49,1067.58,6.28,9.81,No
131,QLD,SMB,Online,16,85.28,2122.81,1234.78,888.03,4.94,10.58,Yes
132,NSW,Enterprise,Online,18,105.8,3848.68,2311.78,1536.89,7.73,6.81,Yes
133,QLD,Mid Market,Direct,12,123.95,2849.81,1752.52,1097.28,6.89,10.04,Yes
134,QLD,Enterprise,Direct,16,115.37,3480.41,2185.06,1295.35,6.27,10.67,Yes
135,VIC,SMB,Online,9,109.77,1839.89,1200.8,639.09,7.2,7.67,Yes
136,VIC,SMB,Online,19,83.66,2802.82,1710.52,1092.3,5.04,8.06,Yes
137,NSW,Mid Market,Online,15,126.53,3375.27,2245.28,1129.99,7.48,8.55,No
138,NSW,SMB,Partner,17,105.72,2952.54,1741.04,1211.5,7.47,7.49,Yes
139,QLD,Mid Market,Partner,17,98.16,2845.32,1861.13,984.19,5.84,8.54,Yes
140,VIC,Enterprise,Direct,21,129.66,4211.61,2413.12,1798.48,6.67,8.23,Yes
141,NSW,Enterprise,Direct,22,91.17,4188.86,2675.58,1513.28,7.37,7.51,Yes
142,NSW,Enterprise,Direct,19,98.63,3556.52,2190.41,1366.1,9.6,7.07,Yes
143,VIC,SMB,Online,12,100.68,2100.86,1259.0,841.86,6.88,8.01,Yes
144,QLD,SMB,Online,11,88.89,1963.53,1096.96,866.57,6.79,8.63,No
145,NSW,Mid Market,Partner,14,87.7,2780.87,1608.17,1172.71,7.06,6.63,Yes
146,NSW,Enterprise,Direct,25,98.64,4578.23,2687.46,1890.77,7.47,9.54,Yes
147,NSW,Mid Market,Online,15,110.83,2951.52,1901.29,1050.23,6.82,5.64,Yes
148,QLD,SMB,Partner,20,97.8,3042.46,1632.23,1410.23,6.78,9.0,No
149,VIC,SMB,Direct,14,95.57,2324.86,1320.13,1004.73,5.89,8.07,Yes
150,QLD,SMB,Online,14,140.94,3036.7,1778.16,1258.55,5.14,8.99,No
151,VIC,Mid Market,Direct,11,90.82,2440.93,1447.06,993.87,6.65,7.22,Yes
152,VIC,SMB,Online,20,101.04,3168.97,1725.3,1443.67,5.31,9.47,Yes
153,NSW,Enterprise,Partner,17,105.08,3563.68,2065.85,1497.83,7.44,8.87,No
154,NSW,Mid Market,Partner,22,122.73,3882.59,2377.03,1505.56,6.54,8.64,Yes
155,QLD,SMB,Partner,21,111.45,3597.93,1967.64,1630.29,5.21,7.12,Yes
156,QLD,SMB,Direct,17,111.77,2910.01,1694.15,1215.86,4.89,9.73,No
157,VIC,SMB,Direct,10,152.86,2618.24,1434.97,1183.27,6.4,6.38,Yes
158,QLD,SMB,Partner,14,94.19,2531.72,1386.68,1145.03,5.34,9.08,No
159,VIC,Mid Market,Direct,18,110.27,3441.52,2121.9,1319.62,6.29,7.64,No
160,QLD,Mid Market,Direct,13,92.66,2556.55,1562.16,994.39,4.96,9.74,Yes
161,QLD,Enterprise,Partner,20,87.58,3491.8,1928.63,1563.17,6.7,8.05,Yes
162,VIC,SMB,Online,16,91.58,2467.1,1377.88,1089.21,5.68,8.61,No
163,VIC,Mid Market,Partner,16,109.84,3307.55,1997.25,1310.29,5.89,9.19,Yes
164,NSW,Mid Market,Partner,23,77.85,3431.89,2109.45,1322.45,6.17,8.43,Yes
165,NSW,Enterprise,Direct,20,117.39,4151.74,2376.73,1775.01,7.85,6.62,Yes
166,VIC,SMB,Online,11,105.17,2140.85,1263.6,877.25,8.35,7.07,Yes
167,QLD,Enterprise,Direct,25,109.74,4546.69,2526.28,2020.41,5.5,9.77,No
168,VIC,Mid Market,Partner,16,92.64,2682.97,1654.33,1028.64,6.89,9.54,Yes
169,VIC,Mid Market,Direct,22,103.66,3999.52,2618.04,1381.49,5.24,11.08,Yes
170,QLD,Mid Market,Direct,11,104.12,2483.94,1478.78,1005.16,5.49,10.69,Yes
171,VIC,SMB,Partner,14,99.95,2807.59,1646.98,1160.61,5.95,10.08,No
172,VIC,Mid Market,Direct,18,93.59,2845.65,1431.83,1413.83,5.11,8.81,No
173,VIC,Enterprise,Direct,28,100.33,4595.83,2503.2,2092.63,6.89,6.55,Yes
174,VIC,SMB,Online,20,120.73,3950.14,2396.88,1553.26,6.34,8.81,Yes
175,NSW,SMB,Partner,17,76.1,2767.19,1519.38,1247.82,7.05,8.2,Yes
176,NSW,SMB,Online,15,112.38,3098.24,1775.89,1322.35,5.66,10.98,No
177,VIC,SMB,Online,17,114.14,2957.11,1718.33,1238.78,6.95,7.88,Yes
178,NSW,Mid Market,Direct,11,129.63,2994.22,1686.21,1308.01,7.87,8.37,Yes
179,QLD,Mid Market,Online,17,94.86,2799.58,1802.5,997.07,5.45,10.62,Yes
180,VIC,Enterprise,Direct,27,96.8,4516.61,2830.84,1685.78,6.53,8.01,Yes
181,VIC,SMB,Direct,11,115.71,2638.27,1650.18,988.09,7.34,7.71,No
182,VIC,Mid Market,Online,13,106.22,2906.72,1694.84,1211.89,5.3,7.62,Yes
183,VIC,SMB,Online,24,93.86,3542.19,2318.42,1223.76,7.11,10.3,No
184,VIC,SMB,Online,25,98.01,3596.76,2110.08,1486.69,5.81,8.95,No
185,NSW,Mid Market,Partner,7,106.17,2386.51,1332.49,1054.02,7.05,8.49,Yes
186,VIC,Enterprise,Direct,20,82.09,3131.22,1771.23,1359.99,7.9,9.21,No
187,QLD,SMB,Direct,15,97.74,2561.43,1572.52,988.91,5.71,10.22,Yes
188,QLD,Mid Market,Direct,16,103.06,2750.33,1501.07,1249.26,6.42,8.81,Yes
189,VIC,SMB,Online,15,94.25,2823.89,1814.11,1009.78,5.85,10.74,Yes
190,NSW,Enterprise,Partner,18,96.69,3457.7,1998.48,1459.23,6.21,8.38,Yes
191,NSW,Mid Market,Online,20,111.96,3749.55,2161.53,1588.02,6.6,8.23,Yes
192,VIC,SMB,Direct,14,118.9,2880.45,1745.07,1135.37,5.86,8.88,Yes
193,QLD,SMB,Partner,15,106.2,2293.29,1387.13,906.16,5.55,8.26,No
194,QLD,SMB,Direct,15,108.91,3030.4,1778.79,1251.61,7.6,8.57,Yes
195,VIC,Mid Market,Online,22,102.46,3165.16,2034.53,1130.63,5.16,11.47,No
196,NSW,SMB,Online,10,100.37,2222.29,1351.01,871.29,5.53,9.13,No
197,NSW,Enterprise,Direct,19,123.56,4046.28,2339.2,1707.07,7.8,6.39,Yes
198,NSW,Mid Market,Partner,22,120.41,3925.84,2430.05,1495.79,7.02,7.84,Yes
199,NSW,Enterprise,Direct,21,101.07,4012.2,2224.99,1787.21,7.56,8.27,No
200,NSW,SMB,Partner,19,85.69,2811.9,1779.61,1032.28,6.23,7.84,Yes
201,NSW,SMB,Partner,16,109.38,3361.82,1906.5,1455.32,7.67,6.44,Yes
202,VIC,Mid Market,Online,13,84.91,2409.98,1501.38,908.6,7.02,8.92,Yes
203,VIC,Mid Market,Direct,14,82.3,2720.09,1542.38,1177.71,7.63,7.07,Yes
204,NSW,Enterprise,Partner,28,93.17,4737.02,2940.97,1796.05,7.76,8.12,Yes
205,VIC,Mid Market,Direct,16,84.19,2545.89,1465.28,1080.61,7.05,7.16,No
206,NSW,Mid Market,Online,28,139.42,5308.03,3150.03,2158.0,6.42,8.09,No
207,VIC,Mid Market,Partner,12,102.43,2594.31,1639.25,955.06,6.09,8.92,No
208,VIC,Mid Market,Online,13,114.76,2760.75,1602.68,1158.07,6.93,8.81,No
209,VIC,SMB,Direct,14,116.14,2855.99,1583.22,1272.77,5.43,8.07,Yes
210,QLD,Mid Market,Partner,14,105.47,2755.39,1569.28,1186.11,5.81,7.83,No
211,VIC,SMB,Direct,24,110.31,4015.15,2298.46,1716.69,6.28,7.48,No
212,NSW,Mid Market,Direct,12,104.55,2598.52,1442.18,1156.35,6.13,7.95,Yes
213,NSW,SMB,Direct,13,103.08,2651.4,1561.89,1089.51,7.12,6.22,No
214,QLD,Enterprise,Direct,23,111.83,3884.02,2250.24,1633.78,6.5,9.7,Yes
215,VIC,SMB,Online,17,124.51,3389.45,1858.65,1530.8,7.16,6.27,Yes
216,NSW,SMB,Direct,18,105.47,2997.16,1768.43,1228.74,6.85,6.64,No
217,NSW,SMB,Direct,18,130.4,3774.14,2129.32,1644.82,6.94,8.2,No
218,QLD,SMB,Direct,19,100.11,3121.61,1806.91,1314.69,5.72,7.38,Yes
219,NSW,Enterprise,Direct,23,93.88,4180.63,2387.05,1793.58,7.52,6.82,No
220,QLD,SMB,Online,20,109.61,3274.3,1843.07,1431.23,5.97,6.07,Yes
221,QLD,Enterprise,Direct,26,104.3,4082.09,2676.07,1406.02,5.36,10.39,Yes
222,NSW,SMB,Online,16,99.76,3028.02,1924.32,1103.71,5.62,7.92,Yes
223,NSW,Enterprise,Direct,19,112.95,4119.68,2499.32,1620.36,6.41,9.07,Yes
224,NSW,SMB,Direct,13,98.35,2452.44,1494.02,958.42,6.31,9.02,No
225,QLD,Mid Market,Partner,18,116.14,3432.99,2103.36,1329.63,5.67,9.34,Yes
226,VIC,SMB,Direct,16,114.78,2805.19,1561.85,1243.34,6.34,9.19,Yes
227,QLD,SMB,Online,17,94.04,2440.03,1574.89,865.14,7.25,5.25,Yes
228,NSW,Mid Market,Direct,12,135.91,3299.27,1927.85,1371.41,6.55,7.14,Yes
229,NSW,SMB,Online,14,108.98,2596.14,1484.2,1111.95,5.29,9.19,Yes
230,QLD,SMB,Online,13,109.07,2307.42,1221.59,1085.82,5.96,7.86,Yes
231,VIC,Enterprise,Partner,19,82.61,3784.42,2414.38,1370.03,6.2,8.96,Yes
232,QLD,SMB,Online,17,93.13,2750.25,1549.74,1200.51,5.45,9.16,No
233,VIC,SMB,Online,27,115.24,4165.94,2325.65,1840.29,6.24,5.64,Yes
234,NSW,Enterprise,Direct,16,102.98,3383.25,1937.54,1445.71,6.3,10.0,Yes
235,VIC,SMB,Direct,19,113.23,3363.45,1970.51,1392.94,6.66,8.1,Yes
236,VIC,Enterprise,Direct,17,107.08,3521.5,1975.65,1545.85,6.59,10.49,Yes
237,QLD,SMB,Online,22,137.08,4019.74,2458.7,1561.04,6.32,9.98,No
238,NSW,SMB,Direct,13,94.32,2736.79,1638.82,1097.97,6.99,9.53,Yes
239,VIC,Enterprise,Partner,22,100.64,4240.73,2681.59,1559.14,7.41,8.57,Yes
240,NSW,Mid Market,Partner,13,91.56,2547.26,1426.56,1120.7,5.9,11.0,Yes
241,QLD,Mid Market,Direct,15,101.4,2827.65,1705.28,1122.38,5.8,9.91,Yes
242,VIC,SMB,Direct,14,110.56,2505.61,1376.87,1128.74,3.84,7.09,Yes
243,VIC,Enterprise,Direct,20,106.31,3861.23,2292.65,1568.58,8.18,8.49,No
244,VIC,SMB,Online,9,117.58,2117.79,1251.68,866.11,7.69,7.7,Yes
245,NSW,SMB,Direct,10,110.67,2408.19,1314.89,1093.3,6.94,8.45,Yes
246,QLD,SMB,Online,22,110.35,2934.78,1642.22,1292.56,7.06,9.3,Yes
247,NSW,Mid Market,Partner,12,124.5,2519.92,1592.07,927.85,7.01,7.12,No
248,VIC,SMB,Online,14,99.2,2592.93,1577.21,1015.71,6.28,9.12,Yes
249,NSW,SMB,Partner,15,94.7,2663.97,1754.88,909.09,7.95,6.88,Yes
250,QLD,Mid Market,Online,24,103.77,3978.59,2547.14,1431.45,6.0,10.89,No
251,QLD,SMB,Partner,13,100.19,2142.47,1306.27,836.2,4.46,8.7,Yes
252,VIC,Enterprise,Online,14,128.34,3541.22,2097.03,1444.18,7.32,5.75,Yes
253,VIC,SMB,Partner,21,111.23,3501.97,2193.41,1308.57,6.37,9.55,No
254,NSW,SMB,Online,12,106.1,2531.15,1467.94,1063.21,7.88,8.35,Yes
255,NSW,Mid Market,Partner,26,105.14,4340.25,2782.46,1557.8,7.78,8.5,Yes
256,QLD,Enterprise,Partner,21,117.54,4172.41,2411.8,1760.61,5.99,9.63,Yes
257,NSW,SMB,Online,21,105.1,3568.94,2171.92,1397.03,6.55,8.3,Yes
258,QLD,Mid Market,Partner,17,108.68,2893.18,1816.95,1076.24,6.62,9.0,No
259,NSW,Mid Market,Online,24,135.38,4909.35,3061.72,1847.64,8.2,6.89,Yes
260,QLD,SMB,Direct,11,115.43,2315.87,1339.76,976.11,6.91,9.27,Yes
261,VIC,Mid Market,Direct,18,113.06,3601.39,2205.64,1395.75,5.5,8.53,No
262,VIC,Mid Market,Partner,14,119.88,2776.65,1628.57,1148.07,6.41,8.97,No
263,QLD,SMB,Direct,11,105.05,1694.04,970.58,723.47,7.79,6.98,Yes
264,QLD,SMB,Partner,13,84.88,2383.17,1365.68,1017.49,6.03,9.01,Yes
265,NSW,Enterprise,Partner,15,104.24,3287.45,1938.81,1348.64,7.39,7.14,Yes
266,VIC,Enterprise,Direct,18,104.38,3704.01,2035.2,1668.81,6.11,9.97,No
267,VIC,Enterprise,Partner,20,80.03,3418.11,2034.77,1383.35,6.19,9.33,Yes
268,NSW,Mid Market,Online,21,118.91,3996.58,2278.16,1718.42,7.95,6.63,Yes
269,QLD,Enterprise,Direct,22,94.91,3928.82,2163.35,1765.47,8.21,7.19,Yes
270,NSW,Mid Market,Partner,20,111.67,3635.77,2260.41,1375.36,6.11,8.42,Yes
271,NSW,SMB,Online,17,120.36,3652.13,2224.37,1427.76,6.63,9.72,Yes
272,NSW,Mid Market,Online,8,95.61,2284.5,1264.62,1019.87,6.49,9.63,Yes
273,NSW,Enterprise,Direct,12,104.64,3287.58,2127.37,1160.21,9.72,4.93,Yes
274,VIC,SMB,Online,14,119.59,2917.91,1724.99,1192.92,5.49,9.11,Yes
275,VIC,SMB,Partner,16,96.51,2907.2,1614.52,1292.68,6.2,8.93,Yes
276,NSW,SMB,Online,23,82.74,3431.77,2026.36,1405.41,7.45,5.98,Yes
277,VIC,Enterprise,Direct,34,121.27,5855.12,3366.58,2488.54,8.79,4.99,Yes
278,VIC,SMB,Online,18,107.96,3283.72,2095.72,1188.0,7.24,8.46,Yes
279,QLD,Enterprise,Direct,18,126.43,3811.32,2041.51,1769.81,6.3,9.57,Yes
280,NSW,Mid Market,Partner,17,111.45,3255.01,1945.09,1309.92,4.63,9.67,Yes
281,NSW,Enterprise,Direct,24,121.55,4938.41,2676.78,2261.63,9.16,6.42,Yes
282,NSW,Enterprise,Direct,15,103.35,3417.05,2381.02,1036.03,8.4,6.84,Yes
283,QLD,Enterprise,Direct,22,98.27,4101.29,2440.05,1661.23,7.07,7.86,Yes
284,NSW,SMB,Online,13,100.02,2594.03,1512.88,1081.15,8.38,7.64,Yes
285,NSW,Mid Market,Online,15,108.35,3055.19,1818.3,1236.89,5.41,8.6,Yes
286,NSW,SMB,Direct,17,113.16,3138.06,2075.17,1062.89,7.82,7.54,Yes
287,NSW,SMB,Online,19,108.94,3423.6,2080.61,1342.98,7.42,6.61,Yes
288,QLD,Mid Market,Online,17,92.98,2642.56,1529.71,1112.85,6.91,7.35,Yes
289,NSW,SMB,Direct,22,91.25,3777.48,2375.7,1401.79,5.09,9.53,No
290,QLD,Enterprise,Partner,20,128.8,4246.09,2480.15,1765.94,7.23,7.75,No
291,QLD,SMB,Online,17,98.31,2413.95,1340.18,1073.77,5.06,7.43,Yes
292,VIC,Mid Market,Partner,14,101.76,3154.81,1844.16,1310.64,5.73,9.32,Yes
293,NSW,Enterprise,Direct,21,104.92,4202.52,2430.82,1771.71,8.48,7.92,No
294,QLD,SMB,Direct,8,89.98,1770.0,925.77,844.23,7.17,5.49,Yes
295,QLD,SMB,Direct,15,111.67,2902.55,1919.45,983.1,6.29,5.76,Yes
